"step","canonical_source","local_runtime_consumer","expected_decision","incident_relevance","evidence_status","db_result"
"tenant active","tenants + subscription context","requireTenant, resolveEffectiveTenant","tenant_active required before entitlement","all incidents","FACT_DB","Credex selected by CTE; service_status=active."
"contract/admin surface","tenant_contracts synchronized to tenant_subscriptions","contractSubscriptionSync.service.js","compatibility/admin source only","commercial drift","FACT_DB + FACT_CODE_ALREADY_AUDITED","Credex contract enterprise active 2026-05-01..2027-05-01; tenant_subscriptions metadata indicates tenant_contracts_auto_sync."
"subscription active","tenant_subscriptions via v_commercial_tenant_subscription","entitlementResolver.getActiveSubscriptionAddons and v_commercial_tenant_capabilities","active/trialing/past_due/suspended subscriptions considered","INC-01, actions, GRC","FACT_DB","Credex effective view subscription enterprise v1 active."
"plan version","commercial_plan_versions + plan_version_modules","v_commercial_plan_capabilities","GRC plan grants advanced GRC and ISO; AI excluded from base standard plans","INC-04, INC-05","FACT_DB","enterprise v1 published; plan_version_modules has ai_compliance=false."
"base capabilities","commercial_technical_capabilities + feature mapping","v_commercial_plan_capabilities","capabilities carry required_permission","all gated routes","FACT_DB","core.dashboard, data.governance, iso.actions, iso.health effective by plan for Credex."
"AI addon","tenant_subscription_addons.ai + commercial_addons.metadata.capability_keys","v_commercial_tenant_capabilities; entitlementResolver.applyAddonEntitlements","ai.compliance and ai.auditor only when addon active and plan_version_addons allows it","INC-01","FACT_DB","Credex has active effective ai addon rows; ai.compliance and ai.auditor effective source=addon."
"runtime AI config","tenants.ai_enabled and feature flags","tenantAiSettings.isTenantAiFeatureEnabled; /api/me/entitlements","config can disable contracted AI; ai_plan cannot grant/deny","INC-01","FACT_DB + FACT_CODE_ALREADY_AUDITED","ai_enabled/web/report/auditor true; ai_features_json.suggestions=true; legacy ai_plan=pro compatibility value."
"RBAC permission","required_permission from capability + user permissions","entitlementResolver.resolveCapability; AppLayout/useTenantEntitlements","rbac_allowed required after plan/addon capability","INC-01, INC-03, INC-04, INC-05","FACT_DB","Credex admin role lacks ai_compliance.read and actions.read because those permission keys are absent from permissions; audit.review/data.catalog.read/framework.read/dashboards.read exist."
"scope","tenant isolation/RBAC middleware","enforceApiAccess, requireTenant, service tenant filters","scope_allowed required for data access","all incidents","FACT_DB aggregate","Credex admin users are tenant-scoped to selected tenant; no emails/user IDs exported."
"/api/me/entitlements","commercial resolver + AI settings","frontend useTenantEntitlements","backend is authority; frontend reflects decision","INC-01","FACT_CODE_ALREADY_AUDITED + FACT_DB","DB gives entitlement true for ai.compliance, but required RBAC permission cannot resolve true for admin."
"frontend route gate","mvpPermissions + AppLayout + Sidebar","direct route and nav visibility","blocked when canShowCapability false","INC-01, INC-04, INC-05","FACT_CODE_ALREADY_AUDITED + INFERENCE_FROM_DB","First failed gate for admin UI is RBAC permission mismatch after DB entitlement."
"UI rendering","page components","route page/dashboard/sidebar","contracted and permitted should appear and work","visibility incidents","FACT_CODE_ALREADY_AUDITED","No DB contradiction to INC-02; no raw i18n key reproduced statically."
