"schema","object_name","object_type","evidence_source","columns_or_definition_summary","constraints_indexes_summary","owner","runtime_db_status","notes"
"public","commercial_plans","table","FACT_DB information_schema + checksum 20260729","plan_key/display_name/status/metadata; production keys demo,empresa,enterprise,legacy,pyme","PK/unique expected by migration; focal row count plans=5","commercial_catalog","db_verified_read_only","Canonical commercial catalog stores legacy plan keys; service aliases ISO/ISO_RISK/GRC remain compatibility boundary."
"public","commercial_plan_versions","table","FACT_DB information_schema + v_commercial_tenant_subscription","plan_id,plan_key,version_number,status,effective dates,metadata","PK id; FK plan_id by migration; published versions queried","commercial_catalog","db_verified_read_only","Credex effective subscription uses enterprise v1 published."
"public","plan_version_modules","table","FACT_DB information_schema + PLAN_VERSION_MODULES_FOCAL","plan_version_id,module_key,included; enterprise has ai_compliance=false after 20260831","FK-like plan/module mapping; migration checksum matched","commercial_catalog","db_verified_read_only","Canonical plan-module authority; AI removed from standard base plans, legacy plan still carries AI plan-level."
"public","commercial_modules","table","FACT_DB information_schema + v_commercial_tenant_modules","module_key/display_name/status/sort_order/metadata","unique module_key expected by migration","commercial_catalog","db_verified_read_only","Effective Credex modules include ai_compliance source=addon, plus core/data_governance/grc_core/health/iso/risk modules source=plan."
"public","commercial_technical_capabilities","table","FACT_DB information_schema + CAP_PATTERN","capability_key,required_permission,status,dependencies,metadata","unique capability_key expected by migration","commercial_catalog","db_verified_read_only","Focal capabilities active: ai.compliance requires missing ai_compliance.read; iso.actions requires missing actions.read."
"public","commercial_addons","table","FACT_DB ADDON_CATALOG","addon_key/display_name/status/metadata; ai active with capability_keys ai.compliance,ai.auditor","unique addon_key expected by migration","commercial_catalog","db_verified_read_only","Canonical AI addon catalog present and active."
"public","plan_version_addons","table","FACT_DB PLAN_ADDON_AI","plan_version_id,addon_key,included; ai included for pyme,empresa,enterprise","subscription/addon mapping by migration","commercial_catalog","db_verified_read_only","Standard plans are compatible with purchasing AI addon."
"public","tenant_subscriptions","table","FACT_DB Credex trace","tenant_id,plan_version_id,plan_key,status,started_at,ended_at,metadata","tenant/version FKs expected; latest active selected by view","commercial_runtime","db_verified_read_only","Credex latest active subscription is enterprise v1; replaced historical pyme/empresa rows remain non-authoritative."
"public","tenant_subscription_addons","table","FACT_DB Credex trace","tenant_subscription_id,addon_key,status,started_at,ended_at","subscription/addon uniqueness expected","commercial_runtime","db_verified_read_only","Credex has duplicate active ai addon rows, both effective; no deny effect but stale duplicate data exists."
"public","tenant_contracts","table","FACT_DB Credex trace","tenant_id,plan_key,contract_status,started_at,ends_at,metadata","compatibility/admin surface","commercial_compatibility","db_verified_read_only","Credex contract is enterprise active 2026-05-01..2027-05-01 and sync metadata appears in tenant_subscriptions."
"public","tenant_feature_overrides","table","FACT_DB OVERRIDE_TRIAL_FOCAL","tenant_id,capability_key,enabled,read_only,status,validity","tenant/capability mapping","commercial_override","db_verified_read_only","Credex has 0 focal overrides for AI/actions/health/dashboard/data.governance."
"public","trials","table","FACT_DB OVERRIDE_TRIAL_FOCAL","tenant_id,trial_key,capability_key,status,starts_at,ends_at","trial records","commercial_trial","db_verified_read_only","Credex has 0 focal trials."
"public","tenants","table","FACT_DB tenant flags","service_status plus ai_enabled,ai_plan,ai_web/report/auditor flags,ai_features_json,quota","PK id; tenant row selected by Credex CTE only","tenant_runtime","db_verified_read_only","Selected Credex tenant active; runtime AI flags enabled; legacy ai_plan=pro remains compatibility/config, not commercial authority."
"public","users","table","FACT_DB aggregate role counts only","tenant_id,email,password_hash,role plus profile columns; no emails exported","PK id; tenant-scoped users","rbac_runtime","db_verified_read_only","Credex focal roles: admin=3, auditor=1; no user identifiers persisted in artifacts."
"public","app_roles","table","FACT_DB ROLE_FOCAL_PERMS","role_key/display_name/role_level/is_system/is_active","role_key registry","rbac_catalog","db_verified_read_only","admin and tenant_admin active; focal permission grants identical for missing AI/actions permissions."
"public","permissions","table","FACT_DB PERMISSION_PATTERN","permission_key,permission_group,display_name,is_active","permission_key catalog","rbac_catalog","db_verified_read_only","actions.view/actions.manage/ai.view/ai.use exist, but required ai_compliance.read and actions.read do not exist."
"public","role_permissions","table","FACT_DB ROLE_FOCAL_PERMS","role_key,permission_key,is_allowed","role/permission mapping","rbac_catalog","db_verified_read_only","No focal grant can satisfy missing permission keys ai_compliance.read/actions.read."
"public","metric_definition_versions","table","FACT_DB LATEST_METRIC + METRIC_DEF_EXISTS","functional_code/version/status/methodology/metadata","published official versions","metrics_catalog","db_verified_read_only","Official keys present: GRC-HEALTH, DATA-TRUST, EVIDENCE-FRESH, COVERAGE; EVIDENCE-COVERAGE absent."
"public","metric_snapshots","table","FACT_DB LATEST_METRIC/TRUST_DIMENSION","tenant_id,definition_version_id,period_key,snapshot_payload,snapshot_status,published_at","latest published by metric","metrics_runtime","db_verified_read_only","Credex latest official snapshots exist for GRC-HEALTH/DATA-TRUST/EVIDENCE-FRESH/COVERAGE but GRC-HEALTH and DATA-TRUST output unmeasured."
"public","metric_source_bindings","table","FACT_DB BINDING","metric_key,formula_code,source_contract_id,binding_status,version_number,published_at","published binding versions","metrics_binding","db_verified_read_only","Latest GRC-HEALTH binding v5 -> F5_5_GRC_HEALTH; DATA-TRUST v5 -> F5_C3_DATA_TRUST; EVIDENCE-FRESH v5 -> F5_5_FRESHNESS_CONTINUOUS."
"public","metric_calculation_policies","table","FACT_DB POLICY","metric_key,formula_code,frequency,minimum_sample_size,failure_policy,status","published policy versions","metrics_policy","db_verified_read_only","Failure policy mark_unmeasured; no null-to-zero fallback."
"public","official_formula_definitions","table","FACT_DB FORMULA_TABLE + FORMULA_VERSION","formula_code/display_name/category/status/metadata","formula registry","math_governance","db_verified_read_only","Published definitions exist for focal formulas through versions."
"public","official_formula_versions","table","FACT_DB FORMULA_VERSION","methodology,expression,null_policy,zero_division_policy,source_contract_code,checksum,status","checksum/status authority","math_governance","db_verified_read_only","F5_5_GRC_HEALTH v1 expression 100 weighted R,C,A,E,D; F5_C3_DATA_TRUST v1 sum(w_d*dimension_d)."
"public","calculation_runs","table","FACT_DB RUN_EXTRACT/COMPONENT_STATUS","tenant_id,formula_code,run_status,period,metadata","run persistence; latest by completed_at/started_at","math_governance","db_verified_read_only","Credex latest GRC-HEALTH not_calculable FORMULA_DEPENDENCY_PENDING; DATA-TRUST not_calculable FORMULA_VARIABLE_REQUIRED."
"public","calculation_inputs","table","FACT_DB CALC_INPUT","run_id,variable_name,input_value,source_row_count,metadata","input persistence","math_governance","db_verified_read_only","GRC_HEALTH input reports missing compliance/actions/dataTrust/risk; DATA_TRUST input reports missing accuracy."
"public","calculation_outputs","table","FACT_DB CALC_OUTPUT","run_id,output_name,output_value,unit,precision,rounding_policy,metadata","output persistence","math_governance","db_verified_read_only","Only F5_5_FRESHNESS_CONTINUOUS has numeric completed value 14.25 among GRC_HEALTH dependencies."
"public","calculation_snapshots","table","FACT_DB LATEST_CALC_SNAPSHOT","run_id,snapshot_type,row_count,payload,metadata","source/result snapshot persistence","math_governance","db_verified_read_only","Latest source snapshots present; row counts show risk/compliance zero usable, evidence freshness 23 usable, DATA_TRUST 202 usable but formula variable missing."
"public","kpi_definitions","table","FACT_DB LEGACY_KPI_DEF","code/name/category/kpi_type/unit/base_formula/is_active/metadata","legacy KPI catalog","legacy_health_kpi","db_verified_read_only","Legacy KPI-HLT-001..004 active from control_health module."
"public","kpi_snapshots","table/view","FACT_DB v_latest_health_kpi_snapshots","legacy health KPI snapshots via v_latest_health_kpi_snapshots","latest view over kpi snapshots","legacy_health_kpi","db_verified_read_only","Credex legacy KPI-HLT-001=83.64 and KPI-HLT-003=85.11 for 2026-08."
"public","v_commercial_plan_capabilities","view","FACT_DB pg_get_viewdef","plan_version_modules -> commercial_modules -> module_features -> feature_capabilities -> commercial_technical_capabilities","view definition verified","commercial_view","db_verified_read_only","Plan-only capability authority; standard plans exclude AI, legacy plan still grants AI."
"public","v_commercial_tenant_subscription","view","FACT_DB pg_get_viewdef","DISTINCT ON tenant latest active/trialing/past_due/suspended subscription","temporal latest by started_at,created_at","commercial_view","db_verified_read_only","Canonical effective subscription view; no direct tenant_contract fallback inside view."
"public","v_commercial_tenant_modules","view","FACT_DB pg_get_viewdef","plan modules UNION active addon modules through tenant_subscription_addons/plan_version_addons/commercial_addons metadata","status active and ended_at null/future","commercial_view","db_verified_read_only","Addon-aware production definition confirmed."
"public","v_commercial_tenant_capabilities","view","FACT_DB pg_get_viewdef","plan capabilities UNION addon capabilities UNION overrides UNION trials","addon active, allowed by plan, ended_at null/future; overrides/trials active","commercial_view","db_verified_read_only","Canonical effective capability authority confirmed; Credex ai.compliance source=addon."
"public","v_commercial_tenant_health","view","FACT_DB pg_get_viewdef","commercial tenant health JSON from tenants, subscription, limits, modules","left joins to commercial subscription/modules/usage","commercial_view","db_verified_read_only","Commercial health only; not official KPI Health authority."
"public","v_tenant_commercial_entitlements","view","FACT_DB pg_get_viewdef","SELECT projection from v_commercial_tenant_capabilities","alias only","compatibility_view","db_verified_read_only","Compatibility-only; safe while pure projection."
