route,route_group,required_permission,capability_key,module_key,plan_requirement,scope_requirement,mutation_read_only,canonical_roles_allowed,legacy_compatibility,backend_guard,frontend_guard,expected_access,finding
/,public-entry,,,,PUBLIC_AUTH_REDIRECT,none,read_only,"anonymous,authenticated",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_PUBLIC_ENTRY_REDIRECT,NO_FAILURE
/acciones-recomendadas,audit-improvement,actions.read,iso.actions,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/activos,risk-control,risk_matrix.view,iso.risk,risks,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_RISK_ENTITLED,NO_FAILURE
/admin-saas,platform,commercial.subscription.read,platform.admin,platform,PLATFORM_CONTEXT,platform,read_only,platform_admin,preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_PLATFORM_ONLY,NO_FAILURE
/administrar-kpis,compliance,framework.read,iso.health,health,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/auditorias,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/auditorias/ejecucion,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/auditorias/ia,intelligence,audit.review,ai.auditor,ai_compliance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/bi,intelligence,metrics.read,metrics.catalog,metrics_bi,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/bi/dashboards/[id],intelligence,metrics.read,metrics.catalog,metrics_bi,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
