"concept","legacy","canonical","exists","consumed","runtime_authority","conflict"
"AI commercial contract","tenants.ai_plan","tenant_subscription_addons.addon_key='ai' + commercial_addons.metadata.capability_keys","both_db","tenantAiSettings reads ai_plan as compatibility/config; entitlementResolver reads addon","canonical_addon","NO for commercial authority; Credex ai_plan=pro does not decide entitlement."
"AI runtime enablement","tenants.ai_enabled,ai_web_enabled,ai_report_enabled,ai_auditor_enabled,ai_features_json","commercial addon entitlement plus runtime flags","both_db","/api/me/entitlements and isTenantAiFeatureEnabled","mixed_by_design: addon first, runtime flags second","NO if interpreted as config; Credex flags all enabled, so they are not INC-01 failed gate."
"AI plan grant","legacy plan includes ai_compliance","standard pyme/empresa/enterprise plans exclude AI; addon grants AI","both_db","v_commercial_plan_capabilities and v_commercial_tenant_capabilities","canonical_addon_for_standard_plans; legacy_plan_runtime_authority_for_legacy_plan","MINOR stale/orphaned authority: legacy plan still grants AI plan-level; no impact on Credex enterprise."
"Commercial plans","pyme,empresa,enterprise,demo,legacy","ISO,ISO + Riesgo Operativo,GRC aliases","both_db","commercialPlanModel aliases; DB stores legacy keys","canonical_service_alias_to_legacy_storage","NO if aliases are contract boundary; future cleanup can migrate/deprecate storage naming."
"Actions capability","capability requires actions.read","existing permissions include actions.view/actions.manage/actions.approve/actions.delete, not actions.read","both_db","AppLayout gate and entitlement resolver","contradictory_catalog_authority","YES; iso.actions is DB-entitled but RBAC cannot allow required_permission actions.read."
"AI compliance permission","capability requires ai_compliance.read","existing permissions include ai.view/ai.use, not ai_compliance.read","both_db","AppLayout gate and entitlement resolver","contradictory_catalog_authority","YES; ai.compliance is DB-entitled via addon but RBAC cannot allow required_permission ai_compliance.read."
"GRC portal","legacy Package3 projection/service compatibility","officialCalculationOrchestrator + canonical formula contracts","both_code_and_db","GET /api/grc/overview","canonical orchestrator invoked from compatibility endpoint","YES for operational behavior: read endpoint recalculates/persists and latest DB runs contain not_calculable dependency states."
"Health KPI codes","KPI-HLT-*","GRC-HEALTH, DATA-TRUST, EVIDENCE-FRESH, COVERAGE","both_db","/api/health/*, /api/kpi/*, /api/metrics/official/dashboard","parallel_authorities","YES; legacy KPI-HLT-001=83.64 while official GRC-HEALTH is unmeasured/dependency_pending."
"Evidence coverage key","KPI-HLT-003 / UI EVIDENCE-COVERAGE expectation","EVIDENCE-FRESH and COVERAGE official keys","both_db/code","Dashboard KPI mini-card and Health pages","duplicate/contradictory naming","YES; EVIDENCE-COVERAGE absent from official catalog while legacy KPI-HLT-003=85.11."
"Data Trust missing dimension","dashboard wants sellable global score","F5_C3_DATA_TRUST v1 requires eight dimensions, no unknown renormalization","both_db","official formula and GRC-HEALTH dependency","canonical_formula","NO null-to-zero; MAJOR product/governance defect because accuracy unknown blocks Data Trust and then GRC-HEALTH."
"Surveys layout","page-level AppLayout plus segment layout AppLayout","single AppLayout shell","code_only","/encuestas route render tree","frontend composition","YES; confirmed duplicate shell, no legacy/canonical DB conflict."
"Raw i18n key","navigation.destinations.aiAudito... visible symptom","navigation.destinations.aiAuditor dictionary key","code_only","Sidebar/navigation","translation system","NOT_CONFIRMED; static search found key and translations."
