"domain","entity","canonical_source","canonical_value","conflicting_source","conflicting_value","runtime_consumer","classification","impact","severity","normalization_candidate","evidence"
"rbac_capability","ai.compliance.required_permission","commercial_technical_capabilities + permissions","Capability active source=addon requires ai_compliance.read; permission key should exist and be grantable","permissions/role_permissions","ai_compliance.read absent; only ai.view/ai.use exist","/api/me/entitlements; AppLayout canShowCapability; /ia-compliance","CONTRADICTORY_DATA","Credex is commercially entitled and runtime AI flags enabled but admin cannot satisfy required_permission.","BLOCKER","MIGRATE_AND_DEPRECATE or patch catalog: align capability required_permission with existing canonical permission or create/grant forward permission after review.","FACT_DB CAP_PATTERN/PERMISSION_PATTERN/ROLE_FOCAL_PERMS"
"rbac_capability","iso.actions.required_permission","commercial_technical_capabilities + permissions","Capability active source=plan requires actions.read; permission key should exist and be grantable","permissions/role_permissions","actions.read absent; actions.view/actions.manage/actions.approve/actions.delete exist","/acciones-recomendadas, /planes-accion, action APIs/frontend gates","CONTRADICTORY_DATA","Credex is DB-entitled to iso.actions but admin cannot satisfy required_permission; UI blocks even though commercial model says ISO base.","BLOCKER","Align iso.actions required_permission to actions.view/read canonical decision and add backend commercial gates in future fix.","FACT_DB EFFECTIVE_CAPABILITY/PERMISSION_PATTERN/ROLE_FOCAL_PERMS"
"commercial_ai","tenant_subscription_addons.ai","v_commercial_tenant_capabilities","Credex ai.compliance and ai.auditor effective source=addon","tenant_subscription_addons","Two active ai addon rows for Credex selected subscription lineage","entitlementResolver active addon lookup/views","STALE_OR_DUPLICATE_DATA","Duplicate active addon rows do not deny access due DISTINCT/UNION, but can confuse billing/audit and should be normalized.","MAJOR","MIGRATE_AND_DEPRECATE duplicate active addon cleanup with uniqueness/postcondition.","FACT_DB ADDON_ROW"
"commercial_ai","legacy plan AI","standard plan matrix + 20260831 addon model","pyme/empresa/enterprise base plan modules exclude ai_compliance","legacy commercial plan","legacy plan still exposes ai.compliance/ai.auditor as plan capability","v_commercial_plan_capabilities if legacy plan tenant exists","LEGACY_RUNTIME_AUTHORITY","No Credex impact; future tenant on legacy plan could receive plan-level AI outside addon model.","MAJOR","REMOVE_RUNTIME_DEPENDENCY for legacy plan AI or mark legacy plan non-sellable/compatibility-only.","FACT_DB PLAN_CAP_FOCAL"
"grc_runtime","GET /api/grc/overview","read endpoint should project latest persisted state","No write/recalculation on GET","phase5.service.js","GET invokes officialCalculationOrchestrator.recalculateOfficialAnalytics and DB latest runs show not_calculable dependencies","GrcPortal","LEGACY_CANONICAL_CONFLICT","Read UX can fail due write/calculation path; unsafe for read-only validation and production portal.","BLOCKER","REMOVE_RUNTIME_DEPENDENCY split read projection from recalculation job.","FACT_CODE_ALREADY_AUDITED + FACT_DB latest calculation_runs"
"metrics","GRC-HEALTH official result","official_formula_versions + calculation_outputs","F5_5_GRC_HEALTH v1 output unmeasured, run_status not_calculable, machine_reason FORMULA_DEPENDENCY_PENDING","legacy kpi_snapshots","KPI-HLT-001 value 83.64 yellow for same tenant/month","Dashboard KPI vs /health","DUPLICATE_AUTHORITY","Users see conflicting global health values depending surface.","BLOCKER","MIGRATE_AND_DEPRECATE Health generation mapping; make one visible authority or explicit labels.","FACT_DB COMPONENT_STATUS/LATEST_LEGACY_HEALTH_KPI"
"metrics","Evidence coverage/freshness","metric_definition_versions","Official keys are EVIDENCE-FRESH and COVERAGE; EVIDENCE-COVERAGE absent","legacy KPI-HLT-003 and frontend expected key","KPI-HLT-003 Cobertura de Evidencias=85.11; dashboard searches EVIDENCE-COVERAGE","Dashboard Health card, /health","DUPLICATE_AUTHORITY","Evidence card can be missing/stale or sourced differently across pages.","MAJOR","KEEP_COMPATIBILITY with explicit mapping KPI-HLT-003 -> COVERAGE/EVIDENCE-FRESH decision; remove raw EVIDENCE-COVERAGE expectation.","FACT_DB METRIC_DEF_EXISTS/LEGACY_KPI_DEF/LATEST_LEGACY_HEALTH_KPI"
"metrics","F5_C3_DATA_TRUST accuracy","F5_C3_DATA_TRUST v1","accuracy required; null/unknown rejected; run not_calculable FORMULA_VARIABLE_REQUIRED","product expectation/UI","Global score expected with partial dimensions","GRC-HEALTH dependency and dashboard","CANONICAL_STRICT_MODEL_DEFECT","No null-to-zero; strict governance blocks sellable score when explicit accuracy validation absent.","MAJOR","Governed new formula/version if dynamic denominator is approved; do not change v1 silently.","FACT_DB FORMULA_VERSION/CALC_INPUT/TRUST_DIMENSION"
"frontend","/encuestas AppLayout","single AppLayout shell","one shell wrapper per route","encuestas layout/page","layout.tsx and page.tsx both wrap AppLayout","/encuestas","LOCAL_CODE_DRIFT","Duplicate shell/sidebar/topbar.","MAJOR","REMOVE_RUNTIME_DEPENDENCY in frontend composition fix.","FACT_CODE_ALREADY_AUDITED"
"i18n","navigation.destinations.aiAuditor","dictionary key translated","ES/EN translations exist","runtime symptom","raw key observed by user but not reproduced statically","Sidebar/navigation","NOT_CONFIRMED","Potential stale build/cache; not DB drift.","MINOR","Runtime browser reproduction only if still visible after entitlement fix.","FACT_CODE_ALREADY_AUDITED"
