"route","capability","module","frontend_gate","backend_endpoint","backend_commercial_gate","expected_plan_scope","legacy_conflict","evidence_status","db_result"
"/ia-compliance","ai.compliance","ai_compliance","AppLayout canShowCapability + AI feature suggestions redirect","/api/ai-compliance","expected via route/service not fully reaudited here","AI_ADDON","NO commercial conflict; YES RBAC catalog conflict","FACT_DB_CLOSED","Credex entitlement source=addon true and runtime suggestions=true, but required_permission ai_compliance.read is absent from permissions."
"/ia-auditor","ai.auditor","ai_compliance","AppLayout canShowCapability + AI auditor feature redirect","/api/ai-auditor/*","expected via AI feature checks not fully reaudited here","AI_ADDON","NO commercial conflict; audit.review exists for admin","FACT_DB_CLOSED","Credex ai.auditor source=addon; required_permission audit.review exists and admin has it."
"/auditorias?view=ia","ai.auditor","ai_compliance","AppLayout AI auditor redirect","/api/ai-auditor/*","expected via AI feature checks not fully audited here","AI_ADDON","route matrix wording stale only","FACT_DB_CLOSED","DB supports ai.auditor entitlement/RBAC for admin."
"/grc","data.governance","data_governance","AppLayout canShowCapability","/api/grc/overview","requireCommercialCapability('data.governance')","GRC","partial: endpoint uses compatibility Package3 projection plus mutating official recalculation","FACT_DB_AND_CODE_CLOSED","Credex data.governance source=plan and admin has data.catalog.read; runtime risk is mutating GET with not_calculable calculations."
"/encuestas","surveys.engine","surveys_assessments","AppLayout canShowCapability","survey APIs not reaudited","not reaudited","GRC","YES frontend nested legacy/page shell conflict","FACT_CODE_CONFIRMED_NO_DB_CONTRADICTION","INC-02 preserved; no DB audit needed."
"/acciones-recomendadas","iso.actions","iso","AppLayout canShowCapability","/api/iso-operational-execution/* and /api/iso-recommended-actions/*","NO requireCommercialCapability found in prior audit","ISO_BASE","YES backend lacks commercial gate and DB required_permission mismatch","FACT_DB_AND_CODE_CLOSED","Credex iso.actions source=plan true, but required_permission actions.read is absent; first failed UI gate is RBAC permission."
"/planes-accion","iso.actions","iso","MvpViewShell/AppLayout route capability expected","/api/action-plans/*","NO requireCommercialCapability found in prior audit","ISO_BASE","YES backend lacks commercial gate and DB required_permission mismatch","FACT_DB_AND_CODE_CLOSED","Same as recommended actions: DB-entitled but RBAC cannot satisfy actions.read."
"/dashboard?view=kpi","metrics.catalog","metrics_bi","Dashboard uses canShowAdvancedMetrics","/api/metrics/official/dashboard","indicatorPermission only; commercial route gate via frontend","GRC","Health/KPI code generation drift","FACT_DB_AND_CODE_CLOSED","Official GRC-HEALTH latest snapshot unmeasured/dependency_pending while legacy KPI-HLT-001=83.64."
"/health","iso.health","health","route capability expected","/api/health/*","auth + tenant health auth; no commercial check identified in prior focused read","ISO_BASE","parallel Health source vs official KPI dashboard","FACT_DB_AND_CODE_CLOSED","Credex iso.health source=plan and admin has framework.read; /health uses operational 85.11 not official GRC-HEALTH."
"/iso-health","iso.health","health","route capability expected","/api/health/*","auth + tenant health auth; no commercial check identified in prior focused read","ISO_BASE","same client/source as /health","FACT_DB_AND_CODE_CLOSED","Same operational source divergence as /health."
